date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:55:32	58730/58730	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/dashboard7f09.html	(from )
12:55:33	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Jun%202020%2007:25:32%20GMT	https://demos.creative-tim.com/robots.txt		(from )
12:55:33	2446/2446	---M--	200	added ('OK')	image/png	etag:%225e6ba644-98e%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:55:33	2761/2761	---M--	200	added ('OK')	image/png	etag:%225e6ba644-ac9%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:55:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202020%2007:25:35%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/dashboard.4.delayed	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:55:36	171778/171778	---M--	200	added ('OK')	image/jpeg	etag:%2249c99bc1b2c088d94746d3b55081f2ec%22	https://s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_thumbnail.jpg	D:/Extra/College/Sem%204/Admin%20Channel/s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_thumbnail.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:55:36	58730/58730	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:45	511573/511573	---M-Z	200	added ('OK')	text/css	etag:W/%225e6ba644-7ce55%22	https://demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.min.css?v=2.1.2	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.min1c51.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:46	847/847	---M-Z	200	added ('OK')	text/css	etag:W/%225e6ba644-34f%22	https://demos.creative-tim.com/material-dashboard-pro/assets/demo/demo.css	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:46	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2014%20Jun%202020%2007:28:46%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Extra/College/Sem%204/Admin%20Channel/www.googletagmanager.com/gtm.95445.delayed	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
